file_name,station_id,begin_time,phase_type,phase_time,phase_score,polarity,sharpness
nc72086051.mseed,NC.KHBB..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:58.680,0.967,U,I
nc72086051.mseed,NC.KHMB..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:52.590,0.95,U,I
nc72086051.mseed,NC.KMR..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:57.550,0.9,U,I
nc72086051.mseed,NC.LAMB..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:06.230,0.756,U,I
nc72086051.mseed,NC.LPG..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:06.850,0.754,U,I
nc72086051.mseed,NC.LVR..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:07.750,0.816,U,I
nc72086051.mseed,NC.LSF..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:06.430,0.947,U,I
nc72086051.mseed,PB.B046..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:52.100,0.943,D,I
nc72086051.mseed,PB.B049..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:56.080,0.799,U,I
nc72086051.mseed,PB.B045..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:52.720,0.866,U,I
nc72086051.mseed,PB.B932..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:52.860,0.959,D,I
nc72086051.mseed,PB.B047..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:53.560,0.854,D,I
nc72086051.mseed,PB.B933..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:57.030,0.825,D,E
nc72086051.mseed,PB.B935..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:56.130,0.964,U,I
nc72086051.mseed,PB.B934..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:01.440,0.754,U,E
nc72086051.mseed,TA.O02D..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:05.520,0.879,U,I
nc72086051.mseed,TA.M02C..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:02.530,0.886,U,I
nc72086051.mseed,TA.N02D..HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:03.330,0.92,U,I
nc72086051.mseed,CE.89101..HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:52.120,0.911,U,I
nc72086051.mseed,CE.89255..HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:50.170,0.969,U,I
nc72086051.mseed,CE.89462..HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:51.440,0.769,U,I
nc72086051.mseed,CE.89509..HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:48.190,0.978,U,I
nc72086051.mseed,CE.89781..HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:48.270,0.982,U,I
nc72086051.mseed,CE.99640..HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:48.000,0.981,U,I
nc72086051.mseed,BK.WDC.00.HHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:06.070,0.91,U,E
nc72086051.mseed,NC.G003.01.HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:06.760,0.927,U,E
nc72086051.mseed,NC.G006.01.HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:06:10.650,0.757,U,E
nc72086051.mseed,NC.K003.01.HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:48.200,0.972,U,E
nc72086051.mseed,NC.K001.01.HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:54.620,0.981,U,E
nc72086051.mseed,NC.K002.01.HNZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:49.320,0.973,U,E
nc72086051.mseed,PB.B045..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:52.720,0.866,U,I
nc72086051.mseed,PB.B046..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:52.100,0.943,D,I
nc72086051.mseed,PB.B047..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:53.560,0.854,D,I
nc72086051.mseed,PB.B933..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:57.030,0.825,D,E
nc72086051.mseed,PB.B049..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:56.080,0.799,U,I
nc72086051.mseed,PB.B932..EHZ,2013-10-11 23:05:07.330,P,2013-10-11 23:05:52.860,0.959,D,I
