# Snuffler Markers File Version 0.2
phase: 2008-07-25 08:31:26.73000  0 XQ.ME01.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
event: 2008-07-25 08:31:50.19000  0 SGzg4P3CHV9sPJw4dgn76O72EKM=      40.4995 -123.9648333       19.319 None None  nc40221138 None
phase: 2008-07-25 08:31:54.59456  0 XQ.ME34.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:31:54.69734  0 XQ.ME32.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P        None False
phase: 2008-07-25 08:31:54.74000  0 XQ.ME33.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:31:54.79000  0 NC.KMPB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:31:55.48911  0 XQ.ME35.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:31:55.79367  0 XQ.ME31.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:31:56.97456  0 NC.KCT..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:31:57.06000  0 BK.JCC..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:31:57.06189  0 XQ.ME36.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:31:57.50000  0 XQ.ME37.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P           1 False
phase: 2008-07-25 08:31:58.23000  0 NC.KMR..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 P          -1 False
phase: 2008-07-25 08:31:58.68000  0 XQ.ME34.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
phase: 2008-07-25 08:31:58.71000  0 XQ.ME33.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.19000 S        None False
