# Snuffler Markers File Version 0.2
phase: 2008-04-30 03:03:26.9029  0 XQ.ME50.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:27.7953  0 NC.GVV..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:27.9380  0 XQ.ME43.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:28.7560  0 XQ.ME44.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:29.1680  0 BK.GASB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:29.8107  0 XQ.ME45.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:29.8341  0 NC.GHM..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:30.7219  0 XQ.ME52.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
2008-04-30 03:03:32.0201  0 XQ.ME53.01.BHZ
phase: 2008-04-30 03:03:32.5707  0 NC.GWR..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:33.3365  0 XQ.ME46.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:34.0061  0 NC.GTS..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:34.0627  0 XQ.ME63.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:34.0764  0 NC.GCW..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:34.8730  0 XQ.ME47.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:34.9128  0 XQ.ME54.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:34.9301  0 NC.GHG..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:35.0866  0 NC.GHL..EHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-07-25 08:31:26.7300  0 XQ.ME01.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
event: 2008-07-25 08:31:50.1900  0 SGzg4P3CHV9sPJw4dgn76O72EKM=      40.4995 -123.9648333       19.319 None None  nc40221138 None
phase: 2008-07-25 08:31:54.5946  0 XQ.ME34.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:31:54.6973  0 XQ.ME32.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P        None False
phase: 2008-07-25 08:31:54.7400  0 XQ.ME33.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:31:54.7900  0 NC.KMPB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:31:55.4891  0 XQ.ME35.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:31:55.7937  0 XQ.ME31.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:31:56.9746  0 NC.KCT..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:31:57.0600  0 BK.JCC..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:31:57.0619  0 XQ.ME36.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:31:57.5000  0 XQ.ME37.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:31:58.2300  0 NC.KMR..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:31:58.6800  0 XQ.ME34.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:31:58.7100  0 XQ.ME33.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:31:58.7600  0 XQ.ME32.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:31:58.8500  0 NC.KMPB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:31:59.0840  0 NC.KHMB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:31:59.2100  0 XQ.ME39.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:31:59.4000  0 XQ.ME30.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:31:59.9500  0 XQ.ME35.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:00.5000  0 XQ.ME31.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:00.8953  0 XQ.ME38.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:32:01.6900  0 NC.KHBB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:32:02.0931  0 XQ.ME27.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:32:02.2200  0 NC.KRP..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:32:02.4456  0 XQ.ME07.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:32:02.5100  0 XQ.ME36.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:02.6948  0 XQ.ME49.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:32:02.8700  0 BK.JCC..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:03.3900  0 XQ.ME37.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:03.6900  0 NC.KCT..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:04.7900  0 NC.KMR..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:05.0562  0 XQ.ME13.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:32:05.5891  0 NC.KCPB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:32:05.7547  0 XQ.ME29.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:32:06.0078  0 XQ.ME04.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:32:06.4700  0 XQ.ME39.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:06.7900  0 XQ.ME30.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:06.9038  0 XQ.ME50.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:32:06.9362  0 XQ.ME42.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:32:07.3800  0 NC.KRMB..HHZ    SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:32:08.3419  0 XQ.ME56.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:32:08.6200  0 BK.WDC..HHZ     SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:32:08.9404  0 XQ.ME09.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P           1 False
phase: 2008-07-25 08:32:09.1053  0 XQ.ME43.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:32:09.5200  0 XQ.ME38.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 S        None False
phase: 2008-07-25 08:32:09.6659  0 XQ.ME44.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
phase: 2008-07-25 08:32:09.7900  0 XQ.ME03.01.BHZ  SGzg4P3CHV9sPJw4dgn76O72EKM= 2008-07-25   08:31:50.1900 P          -1 False
