station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,sta_dist_km
5E.CM03A..EH,2015-03-22T21:00:59.900,3967,2015-03-22 21:01:39.570000,0.985,P,nc72415885.mseed,6685.17822265625,6685.17822265625,51.74
NC.KFP..EH,2015-03-22T21:00:59.900,4126,2015-03-22 21:01:41.160000,0.903,P,nc72415885.mseed,239.8747406005859,239.8747406005859,66.58
NC.LBP..EH,2015-03-22T21:00:59.900,4381,2015-03-22 21:01:43.710000,0.95,P,nc72415885.mseed,221.6767578125,221.6767578125,83.83
NC.LVR..EH,2015-03-22T21:00:59.900,4634,2015-03-22 21:01:46.240000,0.872,P,nc72415885.mseed,325.21002197265625,325.21002197265625,100.37
XQ.ME29.01.BH,2008-02-27T00:10:12.820,3589,2008-02-27 00:10:48.710000,0.957,P,nc51197189.mseed,20983.6484375,20983.6484375,8.46
XQ.ME04.01.BH,2008-02-27T00:10:12.820,3849,2008-02-27 00:10:51.310000,0.95,P,nc51197189.mseed,5228.705078125,5228.705078125,37.43
XQ.ME30.01.BH,2008-02-27T00:10:12.820,3863,2008-02-27 00:10:51.450000,0.93,P,nc51197189.mseed,5665.7744140625,5665.7744140625,40.4
XQ.ME09.01.BH,2008-02-27T00:10:12.820,3861,2008-02-27 00:10:51.430000,0.97,P,nc51197189.mseed,2430.390869140625,2430.390869140625,41.85
XQ.ME13.01.BH,2008-02-27T00:10:12.820,3909,2008-02-27 00:10:51.910000,0.975,P,nc51197189.mseed,3258.171630859375,3258.171630859375,45.23
XQ.ME10.01.BH,2008-02-27T00:10:12.820,4167,2008-02-27 00:10:54.490000,0.941,P,nc51197189.mseed,1835.2274169921875,1835.2274169921875,65.93
BK.WDC..HH,2008-02-27T00:10:12.820,4387,2008-02-27 00:10:56.690000,0.928,P,nc51197189.mseed,517.2655639648438,517.2655639648438,81.46
XQ.ME44.01.BH,2008-02-27T00:10:12.820,12675,2008-02-27 00:12:19.570000,0.958,P,nc51197189.mseed,1125.6285400390625,1125.6285400390625,178.36
XQ.ME52.01.BH,2008-02-27T00:10:12.820,12415,2008-02-27 00:12:16.970000,0.972,P,nc51197189.mseed,2255.16552734375,2255.16552734375,197.21
NP.1586.10.HN,2023-01-17T20:21:55.220,3412,2023-01-17 20:22:29.340000,0.961,P,nc73833291.mseed,9.638505935668944,9.638505935668944,13.64
NP.1582.10.HN,2023-01-17T20:21:55.220,3414,2023-01-17 20:22:29.360000,0.928,P,nc73833291.mseed,14.177556991577148,14.177556991577148,14.74
BK.BJES.00.HN,2023-01-17T20:21:55.220,3446,2023-01-17 20:22:29.680000,0.977,P,nc73833291.mseed,1.3045454025268557,1.3045454025268557,17.3
BK.JCC.00.HN,2023-01-17T20:21:55.220,3518,2023-01-17 20:22:30.400000,0.859,P,nc73833291.mseed,0.3584552407264709,0.3584552407264709,23.93
PB.B046..EH,2023-01-17T20:21:55.220,3722,2023-01-17 20:22:32.440000,0.901,P,nc73833291.mseed,2853.546875,2853.546875,36.28
PB.B932..EH,2023-01-17T20:21:55.220,3750,2023-01-17 20:22:32.720000,0.98,P,nc73833291.mseed,1713.5450439453125,1713.5450439453125,38.77
PB.B047..EH,2023-01-17T20:21:55.220,3786,2023-01-17 20:22:33.080000,0.976,P,nc73833291.mseed,3537.61572265625,3537.61572265625,40.25
NC.KBU.01.HN,2023-01-17T20:21:55.220,3866,2023-01-17 20:22:33.880000,0.959,P,nc73833291.mseed,0.6956949234008789,0.6956949234008789,43.79
PB.B935..EH,2023-01-17T20:21:55.220,3871,2023-01-17 20:22:33.930000,0.952,P,nc73833291.mseed,458.4315490722656,458.4315490722656,44.19
PB.B049..EH,2023-01-17T20:21:55.220,3881,2023-01-17 20:22:34.030000,0.977,P,nc73833291.mseed,1643.6488037109375,1643.6488037109375,45.84
PB.B047..EH,2010-10-27T20:04:11.300,3234,2010-10-27 20:04:43.640000,0.98,P,nc71480081.mseed,32381.87109375,32381.87109375,1.31
PB.B932..EH,2010-10-27T20:04:11.300,3244,2010-10-27 20:04:43.740000,0.989,P,nc71480081.mseed,26785.119140625,26785.119140625,6.34
PB.B046..EH,2010-10-27T20:04:11.300,3350,2010-10-27 20:04:44.800000,0.981,P,nc71480081.mseed,11451.369140625,11451.369140625,13.81
PB.B933..EH,2010-10-27T20:04:11.300,3523,2010-10-27 20:04:46.530000,0.985,P,nc71480081.mseed,4420.00048828125,4420.00048828125,25.88
