station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity
NC.KCR.03.HN,2022-05-29 22:57:55.220,4114,2022-05-29 22:58:36.360,0.845,P,nc73739276.mseed,0.43755903840065,0.43755903840065,D,E,,
NC.KCSB.01.HN,2022-05-29 22:57:55.220,3810,2022-05-29 22:58:33.320,0.985,P,nc73739276.mseed,4.139439105987549,4.139439105987549,U,I,,
NC.KFP.01.HN,2022-05-29 22:57:55.220,1,2022-05-29 22:57:55.230,0.802,P,nc73739276.mseed,0.1914277225732803,0.1914277225732803,,,,
NC.KHBB..HH,2022-05-29 22:57:55.220,3598,2022-05-29 22:58:31.200,0.983,P,nc73739276.mseed,51959.09765625,51959.09765625,U,I,,
NC.KHMB..HH,2022-05-29 22:57:55.220,3797,2022-05-29 22:58:33.190,0.944,P,nc73739276.mseed,16754.208984375,16754.208984375,D,E,,
NC.KMPB..HH,2022-05-29 22:57:55.220,4353,2022-05-29 22:58:38.750,0.945,P,nc73739276.mseed,3612.989990234375,3612.989990234375,D,E,,
NC.KOM.02.HN,2022-05-29 22:57:55.220,3965,2022-05-29 22:58:34.870,0.942,P,nc73739276.mseed,2.3759076595306396,2.3759076595306396,D,E,,
NC.LBK..EH,2022-05-29 22:57:55.220,4031,2022-05-29 22:58:35.530,0.878,P,nc73739276.mseed,1885.23193359375,1885.23193359375,U,E,,
NC.LRB..EH,2022-05-29 22:57:55.220,4635,2022-05-29 22:58:41.570,0.807,P,nc73739276.mseed,519.9553833007812,519.9553833007812,D,E,,
NC.LSF..EH,2022-05-29 22:57:55.220,4163,2022-05-29 22:58:36.850,0.96,P,nc73739276.mseed,1614.207275390625,1614.207275390625,U,I,,
NP.1591.10.HN,2022-05-29 22:57:55.220,11506,2022-05-29 22:59:50.280,0.823,P,nc73739276.mseed,0.3525432050228119,0.3525432050228119,D,E,,
PB.B045..EH,2022-05-29 22:57:55.220,4229,2022-05-29 22:58:37.510,0.974,P,nc73739276.mseed,1430.5404052734375,1430.5404052734375,U,I,,
PB.B046..EH,2022-05-29 22:57:55.220,4551,2022-05-29 22:58:40.730,0.97,P,nc73739276.mseed,859.8676147460938,859.8676147460938,U,I,,
PB.B047..EH,2022-05-29 22:57:55.220,4510,2022-05-29 22:58:40.320,0.966,P,nc73739276.mseed,249.3427276611328,249.3427276611328,U,E,,
PB.B049..EH,2022-05-29 22:57:55.220,4283,2022-05-29 22:58:38.050,0.977,P,nc73739276.mseed,1270.10595703125,1270.10595703125,U,I,,
PB.B932..EH,2022-05-29 22:57:55.220,4513,2022-05-29 22:58:40.350,0.956,P,nc73739276.mseed,401.7200622558594,401.7200622558594,D,E,,
PB.B933..EH,2022-05-29 22:57:55.220,4578,2022-05-29 22:58:41.000,0.944,P,nc73739276.mseed,696.0263061523438,696.0263061523438,U,E,,
PB.B935..EH,2022-05-29 22:57:55.220,3890,2022-05-29 22:58:34.120,0.971,P,nc73739276.mseed,5065.2470703125,5065.2470703125,U,I,,
BK.GASB.00.HH,2014-08-25 21:56:50.090,4601,2014-08-25 21:57:36.100,0.945,P,nc72284206.mseed,4055.16552734375,4055.16552734375,U,E,,
BK.JCC.00.HH,2014-08-25 21:56:50.090,4331,2014-08-25 21:57:33.400,0.895,P,nc72284206.mseed,4923.60009765625,4923.60009765625,D,E,,
BK.WDC.00.HH,2014-08-25 21:56:50.090,4078,2014-08-25 21:57:30.870,0.963,P,nc72284206.mseed,18724.7578125,18724.7578125,U,I,,
BK.YBH.00.HH,2014-08-25 21:56:50.090,5395,2014-08-25 21:57:44.040,0.845,P,nc72284206.mseed,3122.154541015625,3122.154541015625,U,E,,
BK.YBH.50.HH,2014-08-25 21:56:50.090,5395,2014-08-25 21:57:44.040,0.873,P,nc72284206.mseed,4559.18310546875,4559.18310546875,D,E,,
NC.GRO..EH,2014-08-25 21:56:50.090,4282,2014-08-25 21:57:32.910,0.922,P,nc72284206.mseed,1030.846923828125,1030.846923828125,U,I,,
NC.GTC..EH,2014-08-25 21:56:50.090,4709,2014-08-25 21:57:37.180,0.952,P,nc72284206.mseed,140.86846923828125,140.86846923828125,D,E,,
NC.GVV..EH,2014-08-25 21:56:50.090,4447,2014-08-25 21:57:34.560,0.894,P,nc72284206.mseed,710.8441162109375,710.8441162109375,U,E,,
NC.KBN..EH,2014-08-25 21:56:50.090,4071,2014-08-25 21:57:30.800,0.967,P,nc72284206.mseed,1216.982421875,1216.982421875,U,I,,
NC.KBS.02.EH,2014-08-25 21:56:50.090,4126,2014-08-25 21:57:31.350,0.875,P,nc72284206.mseed,1716.928955078125,1716.928955078125,D,E,,
