#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
7D|FS08B||HH1|40.336601|-124.459801|-120.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-14T21:29:30|2013-07-02T01:26:09
7D|FS08B||HH2|40.336601|-124.459801|-120.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-14T21:29:30|2013-07-02T01:26:09
7D|FS08B||HHZ|40.336601|-124.459801|-120.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-14T21:29:30|2013-07-02T01:26:09
7D|FS10B||HH1|40.432999|-124.6819|-1076.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T14:03:30|2013-07-02T23:35:54
7D|FS10B||HH2|40.432999|-124.6819|-1076.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T14:03:30|2013-07-02T23:35:54
7D|FS10B||HHZ|40.432999|-124.6819|-1076.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T14:03:30|2013-07-02T23:35:54
7D|FS11B||HH1|40.429199|-124.577797|-132.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-15T21:06:30|2013-07-02T19:45:16
7D|FS11B||HH2|40.429199|-124.577797|-132.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-15T21:06:30|2013-07-02T19:45:16
7D|FS11B||HHZ|40.429199|-124.577797|-132.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-15T21:06:30|2013-07-02T19:45:16
7D|FS14B||BH1|40.495499|-124.591797|-107.0|0.0|0.0|-90.0|T-compact OBS-SIO/ABALONES-4x4|2509160000.0|0.2|M/S|50.0|2012-09-02T23:24:00|2013-06-19T03:54:00
7D|FS14B||BH2|40.495499|-124.591797|-107.0|0.0|0.0|-90.0|T-compact OBS-SIO/ABALONES-4x4|2509160000.0|0.2|M/S|50.0|2012-09-02T23:24:00|2013-06-19T03:54:00
7D|FS14B||BHZ|40.495499|-124.591797|-107.0|0.0|0.0|-90.0|T-compact OBS-SIO/ABALONES-4x4|2509160000.0|0.2|M/S|50.0|2012-09-02T23:24:00|2013-06-19T03:54:00
7D|FS15B||HH1|40.492599|-124.512604|-52.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T10:56:00|2013-07-02T04:55:57
7D|FS15B||HH2|40.492599|-124.512604|-52.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T10:56:00|2013-07-02T04:55:57
7D|FS15B||HHZ|40.492599|-124.512604|-52.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T10:56:00|2013-07-02T04:55:57
7D|FS13B||HH1|40.493099|-124.806503|-2332.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T00:16:30|2013-07-03T18:31:00
7D|FS13B||HH2|40.493099|-124.806503|-2332.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T00:16:30|2013-07-03T18:31:00
7D|FS13B||HHZ|40.493099|-124.806503|-2332.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T00:16:30|2013-07-03T18:31:00
7D|FS12B||HH1|40.437099|-124.505898|-60.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-15T10:43:30|2013-07-02T03:19:25
7D|FS12B||HH2|40.437099|-124.505898|-60.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-15T10:43:30|2013-07-02T03:19:25
7D|FS12B||HHZ|40.437099|-124.505898|-60.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-15T10:43:30|2013-07-02T03:19:25
7D|FS17B||HH1|40.559799|-124.596497|-146.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-16T11:39:30|2013-07-02T17:23:19
7D|FS17B||HH2|40.559799|-124.596497|-146.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-16T11:39:30|2013-07-02T17:23:19
7D|FS17B||HHZ|40.559799|-124.596497|-146.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-16T11:39:30|2013-07-02T17:23:19
7D|FS16B||HH1|40.538101|-124.739502|-1073.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T10:56:00|2013-07-03T16:31:37
7D|FS16B||HH2|40.538101|-124.739502|-1073.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T10:56:00|2013-07-03T16:31:37
7D|FS16B||HHZ|40.538101|-124.739502|-1073.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-13T10:56:00|2013-07-03T16:31:37
7D|FS19B||HH1|40.627899|-124.466698|-87.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-17T07:49:00|2013-07-01T02:40:43
7D|FS19B||HH2|40.627899|-124.466698|-87.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-17T07:49:00|2013-07-01T02:40:43
7D|FS19B||HHZ|40.627899|-124.466698|-87.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-17T07:49:00|2013-07-01T02:40:43
7D|FS20B||HH1|40.3895|-125.031097|-2378.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-12T19:36:00|2013-07-03T23:26:00
7D|FS20B||HH2|40.3895|-125.031097|-2378.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-12T19:36:00|2013-07-03T23:26:00
7D|FS20B||HHZ|40.3895|-125.031097|-2378.0|0.0|0.0|-90.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-12T19:36:00|2013-07-03T23:26:00
7D|FS18B||HH1|40.568199|-124.501602|-107.0|0.0|0.0|0.0|Nanometrics Trillium Compact Response/LDEO OBS 201|971188000.0|1.0|M/S|125.0|2012-09-16T17:59:00|2013-07-01T04:00:40
