event_id,time,latitude,longitude,depth,mag,max_agap,dip_azimuth,strike,dip,rake,misfit,n_fmo,misfit_w_90ci,max_strike_90ci,max_dip_90ci,max_rake_90ci,multi_sol_flag
71255526,2009:07:28T08:31:54.94,40.483333333333334,-123.51666666666667,0.94,2.35,42.0,25.0,115.0,90.0,-20.0,0.31,27,,15,28,10,0
71255986,2009:07:29T09:31: 7.26,40.483333333333334,-123.51666666666667,4.4,2.14,43.0,230.0,140.0,70.0,130.0,0.22,39,,15,15,30,0
71256386,2009:07:30T04:42: 2.50,40.75,-123.36666666666666,25.09,2.48,62.0,90.0,180.0,65.0,-120.0,0.26,30,,10,15,15,0
71261106,2009:08:06T21:10:35.71,40.93333333333333,-123.56666666666666,16.08,2.86,52.0,90.0,180.0,55.0,-100.0,0.29,43,,33,25,40,0
71261106,2009:08:06T21:10:35.71,40.93333333333333,-123.56666666666666,16.08,2.86,52.0,35.0,125.0,90.0,180.0,0.28,43,,23,53,55,1
71261376,2009:08:07T10:49:34.72,40.3,-124.63333333333334,16.26,4.92,232.0,290.0,200.0,80.0,-20.0,0.0,62,,10,20,20,0
71261376,2009:08:07T10:49:34.72,40.3,-124.63333333333334,16.26,4.92,232.0,280.0,190.0,55.0,-60.0,0.0,62,,20,5,10,1
71261996,2009:08:08T05:51: 7.62,40.666666666666664,-124.61666666666666,23.24,2.65,231.0,130.0,220.0,10.0,160.0,0.12,34,,30,3,40,0
71261996,2009:08:08T05:51: 7.62,40.666666666666664,-124.61666666666666,23.24,2.65,231.0,65.0,155.0,50.0,-60.0,0.16,34,,23,35,20,1
71268451,2009:08:20T10:52:57.91,39.8,-123.21666666666667,8.46,2.94,30.0,230.0,140.0,60.0,-150.0,0.1,36,,10,23,30,0
71270896,2009:08:25T11:11:31.92,40.266666666666666,-123.75,27.54,2.13,85.0,155.0,245.0,80.0,-10.0,0.1,25,,15,33,25,0
71273906,2009:08:31T22:55:10.53,40.3,-124.5,19.88,2.43,232.0,85.0,175.0,60.0,-10.0,0.05,30,,10,35,30,0
71273906,2009:08:31T22:55:10.53,40.3,-124.5,19.88,2.43,232.0,215.0,125.0,50.0,-100.0,0.06,30,,13,15,15,1
71271580,2009:09:05T19:53:39.68,39.81666666666667,-123.21666666666667,6.25,2.44,44.0,210.0,120.0,50.0,170.0,0.06,42,,15,35,30,0
71279761,2009:09:12T10:31:27.74,40.43333333333333,-124.66666666666667,23.35,2.91,234.0,230.0,140.0,30.0,-60.0,0.22,40,,23,20,20,0
71279761,2009:09:12T10:31:27.74,40.43333333333333,-124.66666666666667,23.35,2.91,234.0,285.0,195.0,80.0,-20.0,0.21,40,,13,35,75,1
